Typecode ROC HalfROC Seq ROCpin TrLink TrCell iring iphi t trace localROC localHalfROC 
TH-L34S1 0 1 33 33 1 3 9 0 1 0 1 1
TH-L34S1 0 1 34 34 1 3 9 1 1 0 1 1
TH-L34S1 0 1 35 35 1 3 9 2 1 0 1 1
TH-L34S1 1 0 6 106 3 0 5 11 1 0 2 1
TH-L34S1 1 0 7 107 3 0 5 10 1 0 2 1
TH-L34S1 1 0 8 108 3 0 5 9 1 0 2 1
TH-L34S1 1 0 15 115 3 1 5 6 1 0 2 1
TH-L34S1 1 0 16 116 3 1 5 7 1 0 2 1
TH-L34S1 1 0 17 117 3 1 5 8 1 0 2 1
TH-L34S1 1 0 24 124 3 2 5 5 1 0 2 1
TH-L34S1 1 0 25 125 3 2 5 4 1 0 2 1
TH-L34S1 1 0 26 126 3 2 5 3 1 0 2 1
TH-L34S1 1 0 33 133 3 3 5 0 1 0 2 1
TH-L34S1 1 0 34 134 3 3 5 1 1 0 2 1
TH-L34S1 1 0 35 135 3 3 5 2 1 0 2 1
TH-L34S1 1 0 0 136 4 0 3 11 1 0 2 1
TH-L34S1 1 0 1 137 4 0 3 10 1 0 2 1
TH-L34S1 1 0 5 141 4 0 3 9 1 0 2 1
TH-L34S1 1 0 6 142 4 0 4 9 1 0 2 1
TH-L34S1 1 0 7 143 4 0 4 10 1 0 2 1
TH-L34S1 1 0 8 144 4 0 4 11 1 0 2 1
TH-L34S1 1 0 9 145 4 1 3 7 1 0 2 1
TH-L34S1 1 0 10 146 4 1 3 6 1 0 2 1
TH-L34S1 1 0 14 150 4 1 3 8 1 0 2 1
TH-L34S1 1 0 15 151 4 1 4 8 1 0 2 1
TH-L34S1 1 0 16 152 4 1 4 7 1 0 2 1
TH-L34S1 1 0 17 153 4 1 4 6 1 0 2 1
TH-L34S1 1 0 18 154 4 2 3 5 1 0 2 1
TH-L34S1 1 0 19 155 4 2 3 4 1 0 2 1
TH-L34S1 1 0 23 159 4 2 3 3 1 0 2 1
TH-L34S1 1 0 24 160 4 2 4 3 1 0 2 1
TH-L34S1 1 0 25 161 4 2 4 4 1 0 2 1
TH-L34S1 1 0 26 162 4 2 4 5 1 0 2 1
